PlotID,YearMeas,AgeMeas,BA,height,stem_count,SI,ba_sd,height_sd,stem_count_sd,SI_sd,FID,Installation,PLOT,PlantDensity,Replicate,Culture,Treatment,Thinning
1,1987,28,153.6844482,75.29032258,340,70.65520542,1,1.170841343,10,1,327,0,41041,1140,0,0,0,1
1,1981,25,149.807745,68,380,68,1,1.057469388,10,1,327,0,41071,1140,0,0,0,1
1,1982,23,130.3625988,53.56521739,510,58.50463266,1,0.832993789,10,1,328,0,41121,920,0,0,0,1
1,1988,29,133.0852356,66.44736842,420,58.50463266,1,1.033324382,10,1,328,0,41121,920,0,0,0,1
1,1982,26,131.6535606,59.79069767,470,58.18008918,1,0.92980636,10,1,328,0,41151,920,0,0,0,1
1,1996,18,166.3808148,67.18604651,470,83.53003374,1,1.04481158,10,1,329,0,60921,0,0,0,0,1
1,1981,15,106.1282952,37.37096774,680,57.98708758,1,0.581156682,10,1,329,0,61041,0,0,0,0,1
1,1987,21,142.8560766,49.44642857,610,57.98708758,1,0.76894242,10,1,329,0,61041,0,0,0,0,1
1,1990,24,152.3454912,56.02,550,57.98708758,1,0.871168163,10,1,329,0,61041,0,0,0,0,1
1,1993,27,156.0013074,61.48888889,500,57.98708758,1,0.956214966,10,1,329,0,61041,0,0,0,0,1
1,1999,33,167.8790286,69.61538462,430,57.98708758,1,1.082590267,10,1,329,0,61041,0,0,0,0,1
1,1981,18,128.5796862,42.49180328,670,54.55885842,1,0.6607909,10,1,329,0,61071,0,0,0,0,1
1,1996,15,139.6011439,73.83333333,380.2281369,102.379819,1,1.148183673,10,1,330,0,60891,0,0,0,0,1
1,1996,18,84.57017641,74,211.9815668,91.34567226,1,1.15077551,10,1,330,0,60901,0,0,0,0,1
1,1981,12,87.96856141,42.54545455,456.2737643,69.0802561,1,0.661625232,10,1,330,0,61011,0,0,0,0,1
1,1987,18,116.6492395,55.81395349,446.7680608,69.0802561,1,0.86796393,10,1,330,0,61011,0,0,0,0,1
1,1990,21,122.0145861,62.84210526,399.2395437,69.0802561,1,0.977258861,10,1,330,0,61011,0,0,0,0,1
1,1993,24,130.8451928,69.57894737,399.2395437,69.0802561,1,1.082023631,10,1,330,0,61011,0,0,0,0,1
1,1999,30,138.8011894,74.97058824,351.7110266,69.0802561,1,1.165869148,10,1,330,0,61011,0,0,0,0,1
1,2002,33,136.521604,81,304.1825095,69.0802561,1,1.259632653,10,1,330,0,61011,0,0,0,0,1
1,1981,15,127.0696546,50.96666667,608.2949309,68.54979642,1,0.792583674,10,1,330,0,61021,0,0,0,0,1
1,1987,21,145.8434787,63.9787234,479.2626728,68.54979642,1,0.994934433,10,1,330,0,61021,0,0,0,0,1
1,1990,24,129.3171047,67.09127347,387.0967742,68.54979642,1,1.043337763,10,1,330,0,61021,0,0,0,0,1
1,1993,27,76.48217088,71.66666667,211.9815668,68.54979642,1,1.114489796,10,1,330,0,61021,0,0,0,0,1
1,1999,33,89.17114065,72.33333333,202.764977,68.54979642,1,1.124857143,10,1,330,0,61021,0,0,0,0,1
1,2002,36,99.91476664,79.83333333,184.3317972,68.54979642,1,1.241489796,10,1,330,0,61021,0,0,0,0,1
1,1981,15,109.0390432,49.12765957,494.296578,71.17806878,1,0.763985237,10,1,330,0,61041,0,0,0,0,1
1,1981,18,149.2536111,55.4375,617.5115207,69.88875251,1,0.862109694,10,1,330,0,61051,0,0,0,0,1
1,1981,12,77.61042,27.88571429,770,45.48612386,1,0.433651312,10,1,331,0,41051,1130,0,0,0,1
1,1987,18,109.6292178,38.91044776,740,45.48612386,1,0.605097167,10,1,331,0,41051,1130,0,0,0,1
1,1990,21,116.6185188,41,680,45.48612386,1,0.637591837,10,1,331,0,41051,1130,0,0,0,1
1,1993,24,123.9863274,44.09090909,590,45.48612386,1,0.685658627,10,1,331,0,41051,1130,0,0,0,1
1,1981,15,95.5846224,33.5942029,760,50.53698704,1,0.522424135,10,1,331,0,41081,1130,0,0,0,1
